;long;lat;road;fuel_supply;restaurant;snack_bar;convenience_store;public_phone;hotel;mechanics;borrower;money_supply;site_size_m2;vacancy_length
;-55732728;-29817152;BR-290;1;1;1;o;1;1;1;1;o;5000;25
;-55750921;-29811225;BR-290;1;1;1;o;o;o;o;1;o;3000;12
;-55770575;-29805860;BR-290;1;1;1;o;1;o;1;1;o;4000;15
;-56147068;-29977967;BR-290;1;1;1;o;o;o;o;1;o;5000;25
;-57019648;-29786632;BR-290;1;1;1;o;1;o;1;1;o;6800;25
;-57024634;-29782904;BR-290;1;1;1;o;1;o;1;1;o;9000;35
;-54646253;-30976078;BR-293;1;o;1;o;o;o;o;1;o;;
;-56427357;-30401245;BR-293;1;o;1;o;1;o;1;1;o;3000;15
;-53571202;-28645313;BR-377;1;1;1;o;o;o;o;1;o;3000;12
;-53279719;-27195618;BR-386;1;o;1;o;o;o;1;1;o;3000;15
;-53393198;-27365076;BR-386;1;1;1;o;o;1;1;1;o;4000;20
;-53398792;-27376548;BR-386;1;1;1;o;o;o;1;1;o;2000;10
;-53404917;-27463780;BR-386;1;1;1;o;1;o;1;1;o;2500;15
;-53404822;-27464061;BR-386;1;1;1;o;o;1;o;1;o;1250;8
;-53387348;-27503280;BR-386;1;1;1;1;1;1;o;1;o;5000;35
;-53387266;-27503255;BR-386;1;o;o;o;o;o;o;1;o;3000;15
;-53312893;-27666161;BR-386;1;o;1;o;o;o;o;1;o;4500;20
;-53059346;-27792785;BR-386;1;1;1;1;1;o;o;1;o;3200;15
;-52960316;-27932742;BR-386;1;1;1;o;1;1;o;1;o;4000;15
;-52960741;-27933215;BR-386;1;1;1;o;1;o;1;1;o;3500;20
;-52909612;-27965050;BR-386;1;1;1;o;1;o;1;1;o;3800;15
;-52908207;-27965503;BR-386;1;1;1;o;1;o;1;1;o;3500;12
;-51706849;-29691060;BR-386;1;1;1;o;1;o;o;o;o;4500;20
;-51707143;-29691726;BR-386;1;1;1;o;1;o;1;1;o;2200;12
;-51683826;-29702579;BR-386;1;1;1;o;1;o;1;1;o;1500;12
;-51643347;-29717519;BR-386;1;1;1;o;o;o;o;1;o;3500;15
;-51504595;-29805390;BR-386;1;1;1;o;1;o;1;1;o;1800;10
;-51467921;-29818628;BR-386;1;1;1;o;o;o;o;1;o;5000;20
;-51433265;-29817149;BR-386;1;o;1;o;o;o;o;1;o;3500;15
;-51378188;-29817734;BR-386;1;1;1;o;1;o;o;1;o;4000;20
;-51298170;-29839706;BR-386;1;1;1;o;1;o;1;1;o;3500;15
;-51273613;-29846203;BR-386;1;1;1;o;1;o;1;1;o;4000;20
;-51267963;-29851034;BR-386;1;1;1;o;1;o;1;1;o;3500;15
;-51251629;-29864531;BR-386;1;1;1;o;1;o;1;1;o;3000;12
;-51251443;-29864414;BR-386;1;1;1;o;1;o;o;1;o;5000;25
;-51194603;-29893470;BR-386;1;1;1;o;o;o;o;1;o;6000;35
;-53145124;-30862791;BR-392;1;o;o;o;o;o;o;1;o;2000;25
;-53426909;-30541680;BR-392;1;1;1;o;o;o;1;1;o;2500;10
;-53478109;-30490484;BR-392;1;1;1;o;1;1;1;1;o;5000;25
;-53539505;-30286232;BR-392;1;o;1;o;o;o;o;1;o;3000;40
;-53559888;-30225060;BR-392;1;1;1;o;o;o;1;1;o;2500;12
;-53568267;-30183765;BR-392;1;1;1;o;o;o;o;1;o;3000;40
;-53584830;-30162045;BR-392;1;1;1;o;1;o;1;1;o;3500;20
;-53649047;-30069457;BR-392;1;o;1;o;o;o;o;1;o;2700;35
;-53796058;-29740516;BR-392;1;1;1;o;1;o;1;1;o;3000;40
;-53807581;-29722333;BR-392;1;o;1;o;o;o;o;1;o;4000;50
;-53806683;-29722361;BR-392;1;1;1;o;1;o;1;1;o;1500;12
;-53807068;-29722109;BR-392;1;1;1;1;1;o;1;1;o;3300;25
;-53806464;-29722311;BR-392;1;1;1;o;1;o;o;1;o;600;10
;-54714111;-28121089;BR-392;1;o;o;o;o;o;o;o;o;;
;-53416934;-27813526;BR-468;1;1;1;o;1;o;1;1;o;2700;35
;-53714659;-27755205;BR-468;1;o;1;o;o;o;o;1;o;350;5
;-53903757;-27483289;BR-468;1;o;o;o;o;o;o;1;o;225;4
;-53950229;-27436321;BR-468;1;o;o;o;o;o;o;1;o;3000;45
;-52703903;-32852837;BR-471;1;1;1;o;o;o;o;1;o;300;5
;-53277392;-33459852;BR-471;1;1;1;o;o;o;o;1;o;300;5
;-53449696;-33682559;BR-471;1;1;1;o;1;o;1;1;o;2500;35
;-54246652;-27752798;BR-472;1;1;1;o;1;o;1;1;o;1500;10
;-54430231;-27835063;BR-472;1;1;1;o;1;o;1;1;o;4000;50
;-54534084;-27852929;BR-472;1;1;1;o;1;1;1;1;o;2500;35
;-56520098;-29172314;BR-472;1;1;1;o;o;o;1;1;o;2500;35
;-56812080;-29542354;BR-472;o;o;o;o;o;o;o;1;o;100;3
;-57024267;-29765874;BR-472;1;1;1;o;1;o;1;1;o;5500;20
;-57051864;-29763673;BR-472;1;o;1;o;o;o;1;1;o;1350;20
;-57543632;-30207552;BR-472;1;o;o;o;1;o;o;1;o;225;4
;-50447100;-29884850;BR-290;o;o;1;o;1;o;o;o;o;3458;30
;-50787428;-29911517;BR-290;o;o;1;o;1;o;1;1;o;1647;10
;-51051094;-29954530;BR-290;1;1;o;o;1;o;1;1;o;;
;-51307249;-30001697;BR-290;1;o;o;1;1;o;1;1;o;;
;-51307400;-30003826;BR-290;1;o;1;o;1;o;1;1;o;;
;-51315191;-30008965;BR-290;1;1;o;o;1;o;o;1;o;;
;-51314690;-30012357;BR-290;1;1;o;o;1;o;o;o;o;;
;-51328950;-30037876;BR-290;1;1;o;o;1;o;o;1;o;;
;-51345108;-30111543;BR-116;1;o;1;o;1;o;o;1;o;;
;-51351350;-30127467;BR-116;1;o;o;o;1;o;1;1;o;;
;-51815108;-30876150;BR-116;1;1;1;o;1;1;1;1;o;14000;80
;-52050225;-30998925;BR-116;1;1;1;o;1;1;o;1;o;7000;40
;-52053228;-31013908;BR-116;1;1;1;1;o;1;o;o;o;3600;20
;-52038650;-31053217;BR-116;1;1;1;o;o;o;o;1;o;5400;30
;-52004167;-31257222;BR-116;1;1;1;1;1;o;o;1;1;18200;100
;-52022136;-31313039;BR-116;1;1;1;o;o;o;o;o;o;5400;30
;-52168428;-31410978;BR-116;1;1;1;1;1;o;o;1;o;9100;50
;-52174036;-31418594;BR-116;1;1;1;o;1;o;o;1;o;4500;25
;-52213267;-31480244;BR-116;1;1;1;o;1;o;o;1;o;5400;30
;-52333889;-31639111;BR-116;1;1;1;o;1;o;o;1;o;3600;20
;-52341456;-31675375;BR-116;1;1;1;o;1;1;o;1;o;5400;30
;-52342336;-31678264;BR-116;1;o;1;o;1;o;o;1;o;3600;20
;-52427903;-31754389;BR-116;1;1;1;o;1;o;o;1;o;5400;30
;-53355539;-32530778;BR-116;1;1;1;o;1;1;o;1;o;7200;40
;-53393985;-31565492;BR-293;1;1;o;o;o;o;o;1;o;2400;13
;-53557265;-31511866;BR-293;1;1;o;o;o;o;1;1;o;4500;25
;-53661608;-31466456;BR-293;1;1;1;o;1;o;o;1;1;9100;50
;-52114039;-32112186;BR-392;1;1;o;o;o;o;o;o;o;o;o
;-52120847;-32115850;BR-392;1;1;1;o;1;1;o;o;1;27200;150
;-52138542;-32125725;BR-392;1;1;1;o;1;1;o;1;1;36300;200
;-52178428;-32089661;BR-392;1;1;1;o;1;1;o;1;1;100000;600
;-52196953;-32085900;BR-392;1;1;o;o;1;o;1;1;o;5400;30
;-52257108;-32077717;BR-392;1;1;1;o;1;o;1;1;o;o;o
